 ,Area,Mean,Min,Max
1,155,177.032,156,214
2,152,176.895,153,195
3,156,177.782,143,209
4,155,177.994,157,207
5,155,177.813,155,209
6,152,178.092,154,195
7,156,179.321,158,193
8,155,181.445,165,194
9,155,180.600,167,193
10,153,181.595,175,202
11,155,181.361,172,203
12,155,179.213,171,195
13,155,177.845,171,197
14,152,180.618,167,225
15,156,184.333,168,226
16,155,183.019,169,224
17,155,177.987,157,214
18,152,177.007,163,187
19,156,176.321,149,198
20,155,178.439,149,205
21,155,180.910,162,199
22,152,181.303,168,199
23,156,180.609,170,192
24,155,183.923,168,197
25,155,183.226,168,192
26,153,184.797,177,199
27,155,184.581,170,198
28,155,182.071,173,190
29,155,179.542,173,202
30,152,182.783,171,222
31,156,185.436,170,221
32,155,184.458,167,224
