LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID149724,149724,0,18138.416015625,27.627020798855703,0.9038697464175224,0.0,1.0,1,6.0,1,,14937.6678700361,13646.0,0.0,34115.0,4137734.0,8510.016861953874,-0.1156654883560375,-0.4591658664169952
ID149838,149838,0,10617.884765625,26.219873516784908,5.316386206326611,0.0,2.0,2,6.0,1,,21266.6642599278,22912.0,6570.0,32262.0,5890866.0,6970.300403091248,-0.09020957291060902,-0.6050470375062434
ID149950,149950,0,13865.166015625,24.685941132066073,7.64905225834847,0.0,3.0,3,6.0,1,,21362.42238267148,21985.0,6654.0,33357.0,5917391.0,6876.855576618657,-0.15690769096879095,-1.1562711604948794
ID150067,150067,0,15501.58203125,22.060365205117662,10.851625191742748,0.0,4.0,4,6.0,1,,21463.083032490973,23249.0,4633.0,32431.0,5945274.0,7560.966755601597,-0.17516503383784346,-1.2056607616485877
ID150191,150191,0,14174.41796875,19.435209063510964,14.301938118767573,0.0,5.0,5,6.0,1,,21745.617328519857,23249.0,6233.0,33357.0,6023536.0,6919.057491481283,-0.1688246753022358,-1.2767271062923913
ID150315,150315,0,14777.2275390625,17.453890458848146,16.59719147673815,0.0,6.0,6,6.0,1,,21785.718411552345,23333.0,5391.0,32515.0,6034644.0,7572.746170188317,-0.17091875172871138,-1.1861540644410362
ID150436,150436,0,13634.5615234375,14.111194902826162,20.935596941464443,0.0,7.0,7,6.0,1,,22102.3357400722,23586.0,5306.0,32178.0,6122347.0,7254.220477147981,-0.1625975483877851,-1.1831973314317512
ID150560,150560,0,12838.392578125,12.568717542130958,23.092366013464364,0.0,8.0,8,6.0,1,,22024.78700361011,23333.0,8002.0,32262.0,6100866.0,6774.969870630159,-0.16333713526772192,-1.2693131686173766
ID150687,150687,0,13388.3671875,9.465659544557584,27.471118268007192,0.0,9.0,9,6.0,1,,22189.902527075814,23080.0,6570.0,33947.0,6146603.0,7097.440856497437,-0.1579034626083731,-1.1725014271316454
ID150805,150805,0,12210.4755859375,7.997955901960342,29.94135455249917,0.0,10.0,10,6.0,1,,22140.3321299639,22575.0,8929.0,33273.0,6132872.0,6115.107161136962,-0.146151206632189,-1.2394570765790565
ID150921,150921,0,10601.8447265625,5.639215406324658,33.82095134369787,0.0,11.0,11,6.0,1,,22497.960288808663,23333.0,7665.0,35295.0,6231935.0,6824.925004249842,-0.09739257555809662,-0.7113809113593976
ID151039,151039,0,11700.609375,0.9644428477119682,37.02803002547071,0.0,12.0,12,6.0,1,,16535.63176895307,16594.0,0.0,31083.0,4580370.0,8189.325709364569,-0.08107967581156103,-0.356317202611089
ID151159,151159,0,19946.80078125,0.8702526148931472,39.98069418130304,0.0,13.0,13,6.0,1,,16865.37545126354,16257.0,0.0,33694.0,4671709.0,9069.33924956736,-0.09568249237697561,-0.3935155536765704
ID151274,151274,0,8598.75390625,0.8238918139060233,43.58065349585544,0.0,14.0,14,6.0,1,,22550.05415162455,24320.0,0.0,35716.0,6246365.0,10083.998047234152,0.03884297058519489,0.167227371066912
ID149608,149608,1,27167.087890625,7.129838229554795,68.38032974012599,0.0,0.0,0,6.0,1,,25042.36823104693,25607.0,3200.0,46161.0,6936736.0,12508.776352133038,-0.1632585662148337,-0.7812234451874575
ID149725,149725,1,33095.58203125,9.68766809714073,67.50553399240708,0.0,1.0,1,6.0,1,,25038.43321299639,26534.0,3032.0,47846.0,6935646.0,13252.492955253276,-0.19971318611785113,-0.942976005314676
ID149839,149839,1,36080.81640625,14.470036935908626,65.94053376658677,0.0,2.0,2,6.0,1,,24824.617328519857,26029.0,1937.0,47677.0,6876419.0,13167.661302016624,-0.21549144570683942,-1.0357054520410363
ID149951,149951,1,36706.31640625,16.728719488780925,65.32487037059994,0.0,3.0,3,6.0,1,,24920.4440433213,26113.0,2948.0,49615.0,6902963.0,13061.055571672381,-0.2172062116487713,-1.0588449389832693
ID150068,150068,1,36511.29296875,21.073408247640124,63.53036711779306,0.0,4.0,4,6.0,1,,25433.451263537907,25776.0,4548.0,46919.0,7045066.0,12291.054806180058,-0.21382510581841088,-1.1256040892093446
ID150192,150192,1,37908.84765625,23.81909167794407,62.101888234168534,0.0,5.0,5,6.0,1,,25571.205776173287,26787.0,4211.0,47846.0,7083224.0,12532.3455958986,-0.21688795933534827,-1.1302132156666644
ID150316,150316,1,39236.0859375,27.931017763613138,60.139338889442385,0.0,6.0,6,6.0,1,,25582.15884476534,27545.0,2358.0,47846.0,7086258.0,12257.85268050631,-0.22234101597825237,-1.1933921631602367
ID150437,150437,1,37817.53515625,32.023665037052716,58.3906489813251,0.0,7.0,7,6.0,1,,25729.028880866426,27376.0,3537.0,46835.0,7126941.0,10444.850747466138,-0.22512010247005812,-1.4313011992217626
ID150561,150561,1,39315.4140625,34.5003216871147,57.26756748672187,0.0,8.0,8,6.0,1,,25675.84476534296,27208.0,3369.0,45824.0,7112209.0,10525.161720731609,-0.2302307285969081,-1.459246555629958
ID150688,150688,1,39181.359375,39.021105618770285,55.20524268050579,0.0,9.0,9,6.0,1,,25929.45487364621,27461.0,4548.0,46161.0,7182459.0,9949.25917107449,-0.2309674844411085,-1.5654484817647156
