LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID18112,18112,0,136.96551513671875,353.5145443806351,620.2799036087437,0.0,0.0,0,6.0,1,,3207.653429602888,3724.0,1350.0,4095.0,888520.0,953.2559549699436,-0.10198968598225285,-0.7643333991970018
ID18128,18128,0,137.28173828125,355.84332120186644,621.8606275130354,0.0,1.0,1,6.0,1,,3189.8267148014443,3600.0,1388.0,4095.0,883582.0,914.1113877880161,-0.10556103237825049,-0.8236655171084603
ID18143,18143,0,135.0198516845703,358.80970511046706,624.172460429931,0.0,2.0,2,6.0,1,,3178.57761732852,3491.0,1485.0,4095.0,880466.0,842.7129103124887,-0.10803800100229362,-0.9137204753127729
ID18158,18158,0,136.26318359375,360.8251987870134,625.5128546442572,0.0,3.0,3,6.0,1,,3167.895306859206,3468.0,1438.0,4095.0,877507.0,823.988286034075,-0.11017892487831646,-0.9520847765530043
ID18172,18172,0,137.3698272705078,362.8083204018803,626.6966565320649,0.0,4.0,4,6.0,1,,3158.56678700361,3445.0,1372.0,4095.0,874923.0,794.3659033833952,-0.11215951544594233,-1.0046172829296116
ID18187,18187,0,134.60768127441406,365.2926329299936,628.2528996990411,0.0,5.0,5,6.0,1,,3149.216606498195,3407.0,1397.0,4095.0,872333.0,765.6893857957849,-0.11417296643821065,-1.0602157629130144
ID18201,18201,0,128.9435272216797,368.5729933669452,630.1375346065453,0.0,6.0,6,6.0,1,,3151.938628158845,3412.0,1388.0,4059.0,873087.0,702.6521650578113,-0.1140338830768154,-1.1547398665622624
ID18215,18215,0,122.48271942138672,369.89315253238124,631.1199553479024,0.0,7.0,7,6.0,1,,3150.1371841155233,3356.0,1486.0,4021.0,872588.0,648.3779504421617,-0.11373578692927189,-1.2469962552468208
ID18230,18230,0,105.05530548095703,372.7682104572158,633.0447678507645,0.0,8.0,8,6.0,1,,3175.4981949458484,3344.0,1627.0,3946.0,879613.0,550.9356904036058,-0.1086197578439278,-1.404710358878476
ID18245,18245,0,84.4072265625,374.3212412477344,634.8731905643011,0.0,9.0,9,6.0,1,,3201.350180505415,3331.0,2175.0,3797.0,886774.0,434.52331466480166,-0.10200472779164839,-1.673772179833509
ID18260,18260,0,70.03489685058594,375.6885725608065,636.7081709911153,0.0,10.0,10,6.0,1,,3228.9025270758125,3334.0,2419.0,3796.0,894406.0,363.04695053214834,-0.09558472250394132,-1.8799345569482477
ID18275,18275,0,46.9515266418457,377.64498247130877,639.5231211419967,0.0,11.0,11,6.0,1,,3285.9350180505417,3317.0,2794.0,3694.0,910204.0,248.92710962644136,-0.08204945630046875,-2.359789117961241
ID18292,18292,0,35.97295379638672,378.3073742533399,641.5508956066842,0.0,12.0,12,6.0,1,,3324.4043321299637,3344.0,2930.0,3665.0,920860.0,194.38323788220643,-0.07390816634612744,-2.729753278710742
ID18311,18311,0,27.08066177368164,379.46911943840473,643.8471422214119,0.0,13.0,13,6.0,1,,3365.631768953069,3362.0,3085.0,3697.0,932280.0,148.63119955053344,-0.06588460935961035,-3.194258498139513
ID18328,18328,0,18.73759651184082,381.6175598307315,647.0887978608948,0.0,14.0,14,6.0,1,,3408.8267148014443,3406.0,3217.0,3680.0,944245.0,100.1959254991546,-0.056221470245065595,-4.053376680627103
ID18345,18345,0,15.850282669067383,383.2418741449295,648.8796698238652,0.0,15.0,15,6.0,1,,3433.9350180505417,3421.0,3252.0,3657.0,951200.0,90.67574077417466,-0.05196033251223401,-4.151225909468699
ID18364,18364,0,12.456315994262695,385.3729469712047,651.1314192122295,0.0,16.0,16,6.0,1,,3460.6281588447655,3455.0,3273.0,3646.0,958594.0,70.7301644330642,-0.046423774999058795,-4.763929253488009
ID18382,18382,0,10.383794784545898,388.53015646724333,653.1107396520678,0.0,17.0,17,6.0,1,,3480.2527075812272,3480.0,3291.0,3648.0,964030.0,64.07299705005045,-0.042192140655485634,-4.785407222819969
ID18400,18400,0,9.303642272949219,391.05182653289404,654.4554644667102,0.0,18.0,18,6.0,1,,3497.8916967509026,3500.0,3348.0,3673.0,968916.0,63.27530000107899,-0.03930894440350627,-4.5238664496541965
ID18418,18418,0,8.035370826721191,393.1011658495227,655.6693171952118,0.0,19.0,19,6.0,1,,3510.945848375451,3507.0,3389.0,3678.0,972532.0,55.35092878937527,-0.037082191766670894,-4.885459201910896
ID18436,18436,0,7.934612274169922,396.3584389965855,656.6452864741868,0.0,20.0,20,6.0,1,,3517.797833935018,3517.0,3365.0,3704.0,974430.0,66.60506244361046,-0.03568143320230317,-3.9085475027892005
ID18452,18452,0,7.339376449584961,399.2661844386528,657.1949618155696,0.0,21.0,21,6.0,1,,3525.7292418772563,3523.0,3397.0,3689.0,976627.0,59.94540671929759,-0.03437489692268903,-4.1875104055861225
ID18467,18467,0,6.854212284088135,402.5049254515967,657.1053148301022,0.0,22.0,22,6.0,1,,3529.7003610108304,3526.0,3397.0,3688.0,977727.0,60.36795777526483,-0.03319880632214818,-4.015564828892079
ID18481,18481,0,6.28053617477417,404.90878117511437,656.88515431678,0.0,23.0,23,6.0,1,,3540.43321299639,3535.0,3409.0,3680.0,980700.0,55.857609294424044,-0.03164841034733501,-4.143075895389285
